census_tract_geoid,Vacant Lot Count
17031260100.0,63
17031260200.0,57
17031260300.0,47
17031260400.0,29
17031260500.0,53
17031260600.0,45
17031260700.0,95
17031260800.0,44
17031260900.0,30
17031261000.0,67
17031270500.0,33
17031271200.0,135
17031271300.0,47
17031271400.0,51
17031271500.0,22
17031271800.0,72
17031290900.0,234
17031291200.0,82
17031291600.0,1
17031292200.0,119
17031292400.0,92
17031292500.0,33
17031610300.0,16
17031610400.0,7
17031610800.0,1
17031611200.0,85
17031611300.0,11
17031611400.0,4
17031611500.0,4
17031611600.0,34
17031611700.0,114
17031611800.0,74
17031611900.0,177
17031612000.0,140
17031612100.0,182
17031612200.0,205
17031670100.0,82
17031670200.0,105
17031670300.0,65
17031670400.0,38
17031670500.0,24
17031670600.0,106
17031670700.0,99
17031670800.0,63
17031670900.0,103
17031671100.0,70
17031671200.0,66
17031671300.0,95
17031671400.0,45
17031671500.0,141
17031671600.0,80
17031671800.0,44
17031671900.0,6
17031672000.0,25
17031680500.0,111
17031680600.0,153
17031680900.0,187
17031681000.0,163
17031681100.0,146
17031681200.0,173
17031681300.0,80
17031681400.0,78
17031834600.0,299
17031834700.0,185
17031834800.0,317
17031834900.0,95
17031836800.0,143
17031836900.0,29
17031837000.0,116
17031837100.0,133
17031837300.0,92
17031837400.0,134
17031838600.0,84
17031838700.0,176
17031841500.0,147
17031842600.0,69
17031843000.0,128
17031843100.0,93
17031843300.0,48
17031843400.0,18
17031843800.0,250
17031844700.0,108
