,count,mean,std,min,max,25%,50%,75%
Sq. Ft.,17722.0,1930.8273332580973,78068.54297163697,0.0,10210198.0,0.0,0.0,0.0
Square Footage - City Estimate,4181.0,4914.38674958144,18474.76281324478,0.0,703517.0,2988.0,3122.0,3911.0
Land Value (2022),4260.0,49354.03473239437,370948.252155717,0.0,12750000.0,9279.75,12026.5,20263.0
Latitude,17934.0,41.806335087303445,0.06700178132448663,41.6454366,42.0228314,41.768838875,41.797779399999996,41.86572295
Longitude,17934.0,-87.65697194799263,0.04941328835530273,-87.8361426,-87.5313038,-87.69708485000001,-87.6517871,-87.62573305
X Coordinate,17934.0,1168659.9975161145,13602.350306150343,1119441.61,1203320.735,1157523.4925,1170109.38,1177194.79125
Y Coordinate,17934.0,1872748.4931036578,24343.153841083385,1814207.699,1951596.304,1859142.315,1869657.3095,1894288.56825
env_airport_noise_dnl,17919.0,53.43348600224231,1.7868520933400933,50.92443848,77.96881866,52.5,52.5,54.978464125
env_flood_fs_factor,17768.0,1.8908149482215217,1.6962803674569742,1.0,10.0,1.0,1.0,2.0
access_cmap_walk_nta_score,17828.0,76.53348665021315,25.331292324163826,-34.0,147.0,62.5,79.0,93.0
access_cmap_walk_total_score,17828.0,84.8130468925286,26.00956010543984,-33.5,156.0,70.0,87.5,102.0
mailed_land,17672.0,2616.841217745586,22162.667963894273,0.0,1179702.0,0.0,0.0,1058.5
mailed_tot,4506.0,44724.01575676875,929296.4099198583,1.0,60818318.0,2369.25,4222.5,13685.0
certified_land,17672.0,2465.6538592123134,19384.057824586434,0.0,1017450.0,0.0,0.0,929.75
certified_tot,17672.0,9492.063377093707,323239.8676820597,0.0,41422315.0,0.0,0.0,1029.5
board_land,17655.0,2465.0060606060606,19392.223414657587,0.0,1017450.0,0.0,0.0,895.0
board_tot,17655.0,8763.336901727556,278175.70292953943,0.0,35535705.0,0.0,0.0,1053.5
Property Status,17934,,,,,,,
Sales Status,8938,,,,,,,
Ward,17934.0,,,,,,,
Community Area Name,17931,,,,,,,
Zoning Classification,17931,,,,,,,
Application Use,519,,,,,,,
class_new,17672,,,,,,,
triad_name,17934,,,,,,,
township_name_new,17672,,,,,,,
env_flood_fema_sfha,17705,,,,,,,
env_flood_fs_risk_direction,17768.0,,,,,,,
env_ohare_noise_contour_no_buffer_bool,17751,,,,,,,
env_ohare_noise_contour_half_mile_buffer_bool,17751,,,,,,,
chicago_industrial_corridor_name,665,,,,,,,
econ_qualified_opportunity_zone_num,9335.0,,,,,,,
econ_enterprise_zone_num,239.0,,,,,,,
econ_industrial_growth_zone_num,239.0,,,,,,,
econ_central_business_district_num,102.0,,,,,,,
nbhd,17672.0,,,,,,,
Date of Acquisition,9169,,,1872-12-11 00:00:00,2029-03-12 00:00:00,,,
Date of Disposition,3151,,,1978-06-06 00:00:00,2025-01-16 00:00:00,,,
Last Update,17934,,,2024-03-14 00:00:00,2025-02-06 00:00:00,,,
year_new,17672.0,,,2022.0,2022.0,,,
census_data_year,17924.0,,,2011.0,2023.0,,,
tax_data_year,17930.0,,,2006.0,2023.0,,,
